Journal Date,Type,Account,Account Description,Batch Date,Net Amount
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/1/2024,"$187,277.46 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/2/2024,"$476,080.23 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/3/2024,"$610,205.78 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/4/2024,"$603,803.35 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/5/2024,"$444,917.46 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/6/2024,"$247,628.34 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/7/2024,"$466,675.25 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/8/2024,"$141,915.18 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/9/2024,"$643,860.31 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/10/2024,"$767,815.92 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/11/2024,"$487,141.48 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/12/2024,"$335,344.97 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/13/2024,"$378,138.71 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/14/2024,"$672,010.53 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/15/2024,"$227,302.63 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/16/2024,"$468,346.26 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/17/2024,"$792,693.38 "
12/31/2024,Credit Card,WLRU,"LAWSON WASH, REIMBURSEMENTS USBANK",12/17/2024,$146.00 
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/18/2024,"$139,397.37 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/19/2024,"$323,715.66 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/20/2024,"$403,331.50 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/21/2024,"$946,229.77 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/22/2024,"$150,657.57 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/23/2024,"$360,843.03 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/24/2024,"$560,790.16 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/25/2024,"$9,781.00 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/26/2024,"$286,929.99 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/27/2024,"$301,928.43 "
12/31/2024,Credit Card,WLPR,"LAWSON WASH, PHR RECEIPT",12/28/2024,"$476,170.24 "
